CODGEO;NBMENFISC19;NBPERSMENFISC19;MED19;PIMP19;TP6019;TP60AGE119;TP60AGE219;TP60AGE319;TP60AGE419;TP60AGE519;TP60AGE619;TP60TOL119;TP60TOL219;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19;D119;D919;RD19
01001;322;819;23970;;;;;;;;;;;;;;;;;;;;;;;;
01002;113;263;23640;;;;;;;;;;;;;;;;;;;;;;;;
01004;6711;15040;20510;56;18;21;23;21;16;10;;6;28;70.1;63.4;3.1;3.6;25.6;12.3;7.7;2.8;3.1;1.8;-15.7;11080;35230;3.2
01005;720;1823;24050;;;;;;;;;;;;;;;;;;;;;;;;
01006;;;;;;;;;;;;;;;;;;;;;;;;;;;
01007;1160;2853;23380;63;;;;;;;;;;76.9;71.9;2.2;2.8;26;7.4;4.9;2.4;1.6;0.9;-15.2;14360;36840;2.6
01008;328;787;25450;;;;;;;;;;;;;;;;;;;;;;;;
01009;149;343;23790;;;;;;;;;;;;;;;;;;;;;;;;
01010;452;1100;23770;;;;;;;;;;;;;;;;;;;;;;;;
01011;146;387;24450;;;;;;;;;;;;;;;;;;;;;;;;
01012;140;317;21070;;;;;;;;;;;;;;;;;;;;;;;;
01013;68;133;19900;;;;;;;;;;;;;;;;;;;;;;;;
01014;1347;3473;21460;58;11;;;;;;;;22;70.4;65;3.3;2.1;30.5;10.6;5.1;2.5;1.7;0.9;-16.6;12770;36260;2.8
01015;306;691;22700;;;;;;;;;;;;;;;;;;;;;;;;
01016;175;469;21840;;;;;;;;;;;;;;;;;;;;;;;;
01017;199;417;20120;;;;;;;;;;;;;;;;;;;;;;;;
01019;;;;;;;;;;;;;;;;;;;;;;;;;;;
01021;547;1409;24810;;;;;;;;;;;;;;;;;;;;;;;;
01022;568;1179;20690;;;;;;;;;;;;;;;;;;;;;;;;
01023;;;;;;;;;;;;;;;;;;;;;;;;;;;
01024;1353;3377;22820;63;7;;;;;;;;;78.9;72.1;2.2;4.6;25.7;6.8;4.7;2.5;1.4;0.8;-16.1;14620;35420;2.4
01025;1584;4162;22970;59;6;;;;;;;;;78.2;71;1.9;5.3;23.9;8.9;4.5;2.5;1.4;0.6;-15.5;14600;35580;2.4
01026;419;915;21060;;;;;;;;;;;;;;;;;;;;;;;;
01027;710;1980;24250;;;;;;;;;;;;;;;;;;;;;;;;
01028;214;523;22560;;;;;;;;;;;;;;;;;;;;;;;;
01029;255;584;20780;;;;;;;;;;;;;;;;;;;;;;;;
01030;362;845;22990;;;;;;;;;;;;;;;;;;;;;;;;
01031;1559;3474;19570;53;20;;;27;;;;;32;66.5;61.1;3.7;1.7;31.7;9.1;7.6;2.8;3.1;1.7;-14.9;10820;34350;3.2
01032;1189;3226;21980;62;7;;;;;;;;;80.5;74.6;3.1;2.8;22.7;6.2;5.8;3.5;1.4;0.9;-15.2;13910;37560;2.7
01033;6625;15253;22440;52;16;20;18;18;16;12;;6;27;79.6;73.8;3.5;2.3;23.3;6.5;4.9;1.9;1.9;1.1;-14.3;10830;46240;4.3
01034;4099;8865;20030;52;17;;25;22;13;14;;6;28;64.7;57.1;3.2;4.4;33.7;8.8;7.9;2.7;3.5;1.7;-15.1;10990;34620;3.1
01035;142;311;24210;;;;;;;;;;;;;;;;;;;;;;;;
01036;582;1308;22890;;;;;;;;;;;;;;;;;;;;;;;;
01037;123;279;21450;;;;;;;;;;;;;;;;;;;;;;;;
01038;323;762;22980;;;;;;;;;;;;;;;;;;;;;;;;
01039;206;489;21230;;;;;;;;;;;;;;;;;;;;;;;;
01040;185;488;21610;;;;;;;;;;;;;;;;;;;;;;;;
01041;336;786;22810;;;;;;;;;;;;;;;;;;;;;;;;
01042;117;306;24570;;;;;;;;;;;;;;;;;;;;;;;;
01043;1886;4899;28010;74;5;;;;;;;;;82.2;74.1;2.6;5.5;24.3;10.2;3.1;1.6;1;0.5;-19.8;16480;49000;3
01044;256;617;25780;;;;;;;;;;;;;;;;;;;;;;;;
01045;103;292;26530;;;;;;;;;;;;;;;;;;;;;;;;
01046;340;848;22870;;;;;;;;;;;;;;;;;;;;;;;;
01047;463;1273;25410;;;;;;;;;;;;;;;;;;;;;;;;
01049;1255;3395;25350;70;;;;;;;;;;80.2;73.5;2.7;4;24;9;3.9;2.2;1.1;0.6;-17.1;15270;41370;2.7
01050;133;361;20770;;;;;;;;;;;;;;;;;;;;;;;;
01051;;;;;;;;;;;;;;;;;;;;;;;;;;;
01052;127;308;26780;;;;;;;;;;;;;;;;;;;;;;;;
01053;18546;37218;19290;52;22;27;30;28;21;16;10;5;34;64;57.4;3.3;3.3;33.8;9;9;2.7;4.1;2.2;-15.8;10170;34790;3.4
01054;562;1563;26360;;;;;;;;;;;;;;;;;;;;;;;;
01056;147;346;20200;;;;;;;;;;;;;;;;;;;;;;;;
01057;205;493;22460;;;;;;;;;;;;;;;;;;;;;;;;
01058;340;805;22180;;;;;;;;;;;;;;;;;;;;;;;;
01060;238;535;23990;;;;;;;;;;;;;;;;;;;;;;;;
01061;452;1180;24200;;;;;;;;;;;;;;;;;;;;;;;;
01062;364;957;27790;;;;;;;;;;;;;;;;;;;;;;;;
01063;231;553;24930;;;;;;;;;;;;;;;;;;;;;;;;
01064;452;1092;22230;;;;;;;;;;;;;;;;;;;;;;;;
01065;741;1857;25650;;;;;;;;;;;;;;;;;;;;;;;;
01066;;;;;;;;;;;;;;;;;;;;;;;;;;;
01067;111;267;23180;;;;;;;;;;;;;;;;;;;;;;;;
01068;316;714;21270;;;;;;;;;;;;;;;;;;;;;;;;
01069;630;1496;24070;;;;;;;;;;;;;;;;;;;;;;;;
01071;1860;4690;39170;64;9;;;;;;;;16;97.3;91.3;2.8;3.2;13.1;6.8;1.2;0.5;0.4;0.3;-18.4;13750;81120;5.9
01072;1308;3057;24450;67;;;;;;;;;;75.7;67;2.3;6.4;28.2;10.3;4.3;2;1.5;0.8;-18.5;14340;40000;2.8
01073;458;1059;23630;;;;;;;;;;;;;;;;;;;;;;;;
01074;1047;2499;22050;57;11;;;;;;;;;79;72.1;3.1;3.8;21.5;9.5;5.5;2.5;2;1;-15.5;12650;34760;2.7
01075;522;1376;23890;;;;;;;;;;;;;;;;;;;;;;;;
01076;76;135;21600;;;;;;;;;;;;;;;;;;;;;;;;
01077;93;176;21620;;;;;;;;;;;;;;;;;;;;;;;;
01078;526;1289;40710;;;;;;;;;;;;;;;;;;;;;;;;
01079;298;673;21380;;;;;;;;;;;;;;;;;;;;;;;;
